YEAR,PAPER NO,QUESTION NO,TYS_TOPIC,
2019,2,2, Equations and Inequalities,
2019,1,3, Graphing,
2019,2,3, Differentiation and its Applications,
2019,1,4, Equations and Inequalities,
2019,2,4, Binomial Expansion, Maclaurin's Series and Small Angle Approximations
2019,1,5, Functions,
2019,2,5, Vectors,
2019,1,6, Sequences and Series,
2019,2,6, Permutations and Combinations,
2019,2,7, Binomial and Normal Distributions,
2019,1,8, Arithmetic and Geometric Progression Series,
2019,2,8, Probability,
2019,1,9, Complex Numbers,
2019,2,9, Hypothesis Testing,
2019,1,10, Applications of Integrations - Area and Volume,
2019,1,11, Differential Equations,
2019,2,11, Binomial and Normal Distributions,
2019,1,12, Vectors,
2020,1,1, Vectors,
2020,2,1, Equations and Inequalities,
2020,1,2, Differentiation and its Applications,
2020,2,2, Sequences and Series,
2020,1,3, Binomial Expansion, Maclaurin's Series and Small Angle Approximations
2020,2,3, Applications of Integrations - Area and Volume,
2020,1,4, Complex Numbers,
2020,2,4, Differentiation and its Applications,
2020,1,5, Vectors,
2020,2,5, Discrete Random Variables,
2020,1,6, Complex Numbers,
2020,2,6, Binomial and Normal Distributions,
2020,1,7, Integration,
2020,2,7, Correlation and Regression,
2020,1,8, Arithmetic and Geometric Progression Series,
2020,2,8, Probability,
2020,1,9, Applications of Integrations - Area and Volume,
2020,2,9, Binomial and Normal Distributions,
2020,1,10, Differential Equations,
2020,2,10, Hypothesis Testing,
2020,1,11, Differentiation and its Applications,
2021,1,1, Equations and Inequalities,
2021,2,1, Complex Numbers,
2021,1,2, Graphing,
2021,2,2, Applications of Integrations - Area and Volume,
2021,1,3, Differentiation and its Applications,
2021,2,3, Functions,
2021,1,4, Complex Numbers,
2021,2,4, Arithmetic and Geometric Progression Series,
2021,1,5, Sequences and Series,
2021,2,5, Integration,
2021,1,6, Graphing,
2021,2,6, Discrete Random Variables,
2021,1,7, Binomial Expansion, Maclaurin's Series and Small Angle Approximations
2021,2,7, Permutations and Combinations,
2021,1,8, Vectors,
2021,2,8, Hypothesis Testing,
2021,1,9, Applications of Integrations - Area and Volume,
2021,2,9, Correlation and Regression,
2021,1,10, Differential Equations,
2021,2,10, Binomial and Normal Distributions,
2021,1,11, Applications of Integrations - Area and Volume,
2021,2,11, Permutations and Combinations,
2019,1,7, Differentiation and its Applications,
